lpq,toe,tos,wor,hvsl,hpp,lvl,accuracy_train,accuracy_test,accuracy_validation
X,-,X,X,-,-,X,100.0,42.70833333333333,lvl
X,-,X,X,-,X,-,100.0,45.83333333333333,lvl
X,-,X,X,-,X,X,100.0,46.875,lvl
X,-,X,X,X,-,-,100.0,45.83333333333333,lvl
X,-,X,X,X,-,X,100.0,44.79166666666667,lvl
X,-,X,X,X,X,-,100.0,44.79166666666667,lvl
X,-,X,X,X,X,X,100.0,44.79166666666667,lvl
X,X,-,-,-,-,-,100.0,44.79166666666667,lvl
X,X,-,-,-,-,X,100.0,45.83333333333333,lvl
X,X,-,-,-,X,-,100.0,42.70833333333333,lvl
X,X,-,-,-,X,X,100.0,43.75,lvl
X,X,-,-,X,-,-,100.0,43.75,lvl
X,X,-,-,X,-,X,100.0,42.70833333333333,lvl
X,X,-,-,X,X,-,100.0,44.79166666666667,lvl
X,X,-,-,X,X,X,100.0,44.79166666666667,lvl
X,X,-,X,-,-,-,100.0,42.70833333333333,lvl
X,X,-,X,-,-,X,100.0,42.70833333333333,lvl
X,X,-,X,-,X,-,100.0,40.625,lvl
X,X,-,X,-,X,X,100.0,42.70833333333333,lvl
X,X,-,X,X,-,-,100.0,42.70833333333333,lvl
X,X,-,X,X,-,X,100.0,42.70833333333333,lvl
X,X,-,X,X,X,-,100.0,46.875,lvl
X,X,-,X,X,X,X,100.0,44.79166666666667,lvl
X,X,X,-,-,-,-,100.0,39.58333333333333,lvl
X,X,X,-,-,-,X,100.0,40.625,lvl
X,X,X,-,-,X,-,100.0,44.79166666666667,lvl
X,X,X,-,-,X,X,100.0,40.625,lvl
X,X,X,-,X,-,-,100.0,41.66666666666667,lvl
X,X,X,-,X,-,X,100.0,41.66666666666667,lvl
X,X,X,-,X,X,-,100.0,43.75,lvl
X,X,X,-,X,X,X,100.0,40.625,lvl
X,X,X,X,-,-,-,100.0,39.58333333333333,lvl
X,X,X,X,-,-,X,100.0,39.58333333333333,lvl
X,X,X,X,-,X,-,100.0,39.58333333333333,lvl
X,X,X,X,-,X,X,100.0,41.66666666666667,lvl
X,X,X,X,X,-,-,100.0,39.58333333333333,lvl
X,X,X,X,X,-,X,100.0,40.625,lvl
X,X,X,X,X,X,-,100.0,43.75,lvl
X,X,X,X,X,X,X,100.0,41.66666666666667,lvl
-,-,-,-,-,-,-,42.37388724035608,28.125,X
