lpq,toe,tos,wor,hvsl,hpp,lvl,accuracy_train,accuracy_test
X,X,-,-,-,X,X,95.07418397626112,33.33333333333333
X,X,-,-,X,-,-,94.95548961424333,31.25
X,X,-,-,X,-,X,95.01483679525222,31.25
X,X,-,-,X,X,-,95.01483679525222,33.33333333333333
X,X,-,-,X,X,X,95.07418397626112,33.33333333333333
X,X,-,X,-,-,-,95.01483679525222,32.29166666666667
X,X,-,X,-,-,X,95.07418397626112,31.25
X,X,-,X,-,X,-,95.01483679525222,35.41666666666667
X,X,-,X,-,X,X,95.01483679525222,35.41666666666667
X,X,-,X,X,-,-,95.01483679525222,32.29166666666667
X,X,-,X,X,-,X,95.13353115727003,31.25
X,X,-,X,X,X,-,94.89614243323442,35.41666666666667
X,X,-,X,X,X,X,94.89614243323442,35.41666666666667
X,X,X,-,-,-,-,95.01483679525222,31.25
X,X,X,-,-,-,X,95.01483679525222,31.25
X,X,X,-,-,X,-,95.25222551928783,33.33333333333333
X,X,X,-,-,X,X,95.19287833827893,34.375
X,X,X,-,X,-,-,95.01483679525222,31.25
X,X,X,-,X,-,X,95.07418397626112,31.25
X,X,X,-,X,X,-,95.13353115727003,33.33333333333333
X,X,X,-,X,X,X,95.13353115727003,34.375
X,X,X,X,-,-,-,95.07418397626112,31.25
X,X,X,X,-,-,X,95.19287833827893,31.25
X,X,X,X,-,X,-,95.13353115727003,35.41666666666667
X,X,X,X,-,X,X,95.07418397626112,34.375
X,X,X,X,X,-,-,95.01483679525222,31.25
X,X,X,X,X,-,X,95.07418397626112,31.25
X,X,X,X,X,X,-,95.01483679525222,35.41666666666667
X,X,X,X,X,X,X,95.01483679525222,35.41666666666667
-,-,-,-,-,-,-,42.37388724035608,22.916666666666664
